Date,Time,Minutes
12/6/2022,0:27,27
12/7/2022,2:23,143
12/8/2022,1:17,77
12/9/2022,1:26,86
12/10/2022,2:13,133
12/11/2022,4:10,250
12/12/2022,4:31,271
12/13/2022,4:07,247
12/23/2022,0:13,13
1/3/2023,0:41,41
1/7/2023,2:03,123
1/8/2023,2:00,120
1/23/2023,0:34,34
1/24/2023,3:48,228
1/31/2023,2:15,135
2/1/2023,0:06,6
2/14/2023,1:04,64
2/15/2023,0:25,25
2/28/2023,0:48,48
3/1/2023,1:24,84
3/2/2023,0:08,8
3/3/2023,1:39,99
3/5/2023,3:49,229
3/6/2023,1:15,75
3/7/2023,2:16,136
3/8/2023,4:26,266
3/9/2023,0:52,52
3/14/2023,1:38,98
3/15/2023,1:14,74
3/17/2023,0:55,55
3/20/2023,1:58,118
3/21/2023,3:47,227
3/22/2023,2:51,171
3/23/2023,2:46,166
3/27/2023,3:29,209
3/28/2023,4:41,281
3/29/2023,2:58,178
4/2/2023,0:13,13
4/3/2023,5:23,323
4/4/2023,7:36,456
4/5/2023,1:29,89
4/7/2023,0:00,0
4/9/2023,5:09,309
4/10/2023,2:04,124
4/11/2023,5:50,350
4/12/2023,2:55,175
4/13/2023,0:27,27
4/14/2023,1:21,81
4/15/2023,2:05,125
5/3/2023,2:02,122
5/4/2023,1:24,84
5/13/2023,2:08,128
5/14/2023,3:22,202
5/15/2023,3:18,198
5/16/2023,0:45,45
5/17/2023,0:06,6
5/18/2023,1:11,71
5/19/2023,4:42,282
5/20/2023,6:09,369
5/21/2023,1:04,64
5/22/2023,6:05,365
5/23/2023,0:55,55
5/24/2023,1:00,60
5/25/2023,0:50,50
5/26/2023,2:08,128
5/28/2023,2:24,144
5/29/2023,2:26,146
5/30/2023,2:34,154
5/31/2023,5:25,325
6/1/2023,3:08,188
6/3/2023,2:17,137
6/4/2023,5:40,340
6/9/2023,1:38,98
6/15/2023,3:47,227
6/16/2023,0:00,0
6/19/2023,0:21,21
7/6/2023,5:02,302
7/8/2023,1:43,103
7/9/2023,3:17,197
7/10/2023,1:42,102
7/11/2023,2:06,126
7/12/2023,1:00,60
7/13/2023,6:00,360
7/14/2023,7:51,471
7/15/2023,6:20,380
7/16/2023,6:38,398
7/17/2023,4:00,240
7/19/2023,0:57,57
7/25/2023,3:11,191
7/26/2023,2:11,131
8/14/2023,2:29,149
8/15/2023,6:21,381
8/16/2023,7:54,474
8/17/2023,11:05,665
8/18/2023,9:38,578
8/19/2023,1:16,76
8/20/2023,1:32,92
8/21/2023,0:10,10
8/22/2023,4:05,245
8/23/2023,2:45,165
8/24/2023,9:26,566
8/25/2023,2:18,138
8/26/2023,5:38,338
8/27/2023,3:47,227
8/28/2023,6:26,386
8/29/2023,1:49,109
8/30/2023,3:24,204
9/2/2023,5:10,310
9/3/2023,4:32,272
9/4/2023,3:26,206
9/5/2023,3:32,212
9/6/2023,0:07,7
9/7/2023,2:10,130
9/8/2023,0:33,33
9/9/2023,4:45,285
9/10/2023,0:50,50
9/12/2023,6:04,364
9/13/2023,7:16,436
9/14/2023,0:14,14
9/15/2023,3:26,206
9/16/2023,3:56,236
9/17/2023,3:00,180
9/18/2023,5:21,321
9/19/2023,3:35,215
9/20/2023,3:26,206
9/21/2023,9:01,541
9/22/2023,0:48,48
9/23/2023,4:00,240
9/24/2023,6:31,391
9/25/2023,2:47,167
9/26/2023,4:38,278
9/28/2023,1:32,92
9/29/2023,2:32,152
9/30/2023,2:11,131
